,,,,,,,,,,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM
Test Service 4,opg-test-service4,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,5,2,3,"40,252",Smaller,Opportunity,Smaller,Smaller,Opportunity,Smaller,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service 4,opg-test-service4,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,7,2,5,"84,585",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Test Service 4,opg-test-service4,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,8,3,5,"101,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity
Test Service 5,opg-test-service5,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,7,0,7,"4,896",Major,Opportunity,Smaller,Smaller,Opportunity,Major,Smaller,Opportunity,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service 5,opg-test-service5,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,5,4,1,"8,156",,,,,,,,,,,,,Opportunity,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Major,Opportunity,Opportunity,Major,Out-of-Scope,,,,,,,,,,,
Test Service 5,opg-test-service5,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,5,3,2,"57,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Opportunity,Major,Opportunity,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity
Test Service 6,opg-test-service6,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,6,3,3,"8,968",Major,Opportunity,Opportunity,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service 6,opg-test-service6,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,7,2,5,"32,102",,,,,,,,,,,,,Opportunity,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Out-of-Scope,,,,,,,,,,,
Test Service 6,opg-test-service6,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,5,3,2,"69,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,Opportunity,Opportunity,Major,Smaller,Major,Opportunity,Opportunity,Smaller,Major,Opportunity,Opportunity
Test Service 7,opg-test-service7,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,3,3,0,"1,938",Major,Opportunity,Smaller,Smaller,Opportunity,Major,Opportunity,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service 7,opg-test-service7,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,3,3,0,"2,381",,,,,,,,,,,,,Opportunity,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Test Service 7,opg-test-service7,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,5,3,2,"2,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Smaller,Smaller,Major,Smaller,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity
